center_id,latitude,longitude,street_name,mcpps,sector
snd-10000,47.667720,-122.330154,N 54TH ST,WALLINGFORD,B
snd-10001,47.668273,-122.331251,KIRKWOOD PL N,WALLINGFORD,B
snd-10003,47.667414,-122.360803,3RD AVE NW,PHINNEY RIDGE,B
snd-10004,47.667421,-122.361170,NW MARKET ST,BALLARD SOUTH,B
snd-10005,47.667025,-122.380475,NW CENTRAL PL,BALLARD SOUTH,B
snd-10006,47.667322,-122.381514,RUSSELL AVE NW,BALLARD SOUTH,B
snd-10007,47.667447,-122.355392,GREENWOOD AVE N,PHINNEY RIDGE,B
snd-10008,47.667413,-122.354418,PHINNEY AVE N,PHINNEY RIDGE,B
snd-10009,47.667074,-122.354908,N 53RD ST,PHINNEY RIDGE,B
snd-10010,47.667260,-122.382132,20TH AVE NW,BALLARD SOUTH,B
snd-10011,47.666769,-122.382243,LEARY AVE NW,BALLARD SOUTH,B
snd-10012,47.666940,-122.378886,17TH AVE NW,BALLARD SOUTH,B
snd-10013,47.667583,-122.338482,WOODLAWN AVE N,WALLINGFORD,B
snd-10015,47.667582,-122.336389,WALLINGFORD AVE N,WALLINGFORD,B
snd-10016,47.667221,-122.337438,N 53RD ST,WALLINGFORD,B
snd-10019,47.667581,-122.333697,MERIDIAN AVE N,WALLINGFORD,B
snd-10020,47.667220,-122.335046,N 53RD ST,WALLINGFORD,B
snd-10021,47.666891,-122.360248,NW 52ND ST,PHINNEY RIDGE,B
snd-10022,47.666861,-122.359209,NW 52ND ST,PHINNEY RIDGE,B
snd-10023,47.667030,-122.358370,2ND AVE NW,PHINNEY RIDGE,B
snd-10024,47.666859,-122.358437,NW 52ND ST,PHINNEY RIDGE,B
snd-10025,47.667186,-122.357380,1ST AVE NW,PHINNEY RIDGE,B
snd-10026,47.666858,-122.357768,NW 52ND ST,PHINNEY RIDGE,B
snd-10027,47.667425,-122.340083,GREEN LAKE WAY N,PHINNEY RIDGE,B
snd-10028,47.667362,-122.331387,N 54TH ST,WALLINGFORD,B
snd-10029,47.667561,-122.332252,KEYSTONE PL N,WALLINGFORD,B
snd-10030,47.667203,-122.332854,N 53RD ST,WALLINGFORD,B
snd-10031,47.667083,-122.339267,N 53RD ST,WALLINGFORD,B
snd-10032,47.667390,-122.356405,PALATINE AVE N,PHINNEY RIDGE,B
snd-10033,47.666855,-122.356895,N 52ND ST,PHINNEY RIDGE,B
snd-10034,47.667056,-122.384748,22ND AVE NW,BALLARD SOUTH,B
snd-10035,47.667428,-122.386127,SHILSHOLE AVE NW,BALLARD SOUTH,B
snd-10037,47.666626,-122.379048,NW IONE PL,BALLARD SOUTH,B
snd-10038,47.666895,-122.379631,TALLMAN AVE NW,BALLARD SOUTH,B
snd-10039,47.666961,-122.355396,GREENWOOD AVE N,PHINNEY RIDGE,B
snd-10040,47.666850,-122.355903,N 52ND ST,PHINNEY RIDGE,B
snd-10041,47.667314,-122.328687,N 53RD ST,WALLINGFORD,B
snd-10042,47.666636,-122.382777,NW VERNON PL,BALLARD SOUTH,B
snd-10043,47.667045,-122.383948,BALLARD AVE NW,BALLARD SOUTH,B
snd-10044,47.667525,-122.325568,LATONA AVE NE,WALLINGFORD,B
snd-10045,47.667171,-122.326767,NE 53RD ST,WALLINGFORD,B
snd-10046,47.666576,-122.378886,17TH AVE NW,BALLARD SOUTH,B
snd-10047,47.666758,-122.358724,2ND AVE NW,PHINNEY RIDGE,B
snd-10048,47.666798,-122.376217,15TH AVE NW,BALLARD SOUTH,B
snd-10049,47.666434,-122.377552,NW 52ND ST,BALLARD SOUTH,B
snd-10050,47.667505,-122.322851,5TH AVE NE,WALLINGFORD,B
snd-10051,47.667153,-122.324214,NE 53RD ST,WALLINGFORD,B
snd-10053,47.666795,-122.373591,14TH AVE NW,BALLARD SOUTH,B
snd-10054,47.666432,-122.374904,NW 52ND ST,BALLARD SOUTH,B
snd-10055,47.666791,-122.370762,11TH AVE NW,BALLARD SOUTH,B
snd-10056,47.666429,-122.372177,NW 52ND ST,BALLARD SOUTH,B
snd-10057,47.666789,-122.368608,9TH AVE NW,BALLARD SOUTH,B
snd-10058,47.666425,-122.369685,NW 52ND ST,BALLARD SOUTH,B
snd-10059,47.666351,-122.378887,17TH AVE NW,BALLARD SOUTH,B
snd-10060,47.666401,-122.379049,TALLMAN AVE NW,BALLARD SOUTH,B
snd-10061,47.666801,-122.366183,8TH AVE NW,BALLARD SOUTH,B
snd-10062,47.666421,-122.367396,NW 52ND ST,BALLARD SOUTH,B
snd-10063,47.666817,-122.363288,6TH AVE NW,BALLARD SOUTH,B
snd-10064,47.666435,-122.364737,NW 52ND ST,BALLARD SOUTH,B
snd-10065,47.666671,-122.360801,3RD AVE NW,FREMONT,B
snd-10066,47.666437,-122.362046,NW 52ND ST,BALLARD SOUTH,B
snd-10067,47.666311,-122.379633,NW IONE PL,BALLARD SOUTH,B
snd-10068,47.666441,-122.380476,RUSSELL AVE NW,BALLARD SOUTH,B
snd-10069,47.666622,-122.355401,GREENWOOD AVE N,PHINNEY RIDGE,B
snd-10070,47.666607,-122.357383,1ST AVE NW,PHINNEY RIDGE,B
snd-10071,47.666608,-122.357769,PALMER DR NW,PHINNEY RIDGE,B
snd-10072,47.666734,-122.354423,PHINNEY AVE N,PHINNEY RIDGE,B
snd-10073,47.666396,-122.354915,N 52ND ST,PHINNEY RIDGE,B
snd-10074,47.666151,-122.383627,NW VERNON PL,BALLARD SOUTH,B
snd-10075,47.666190,-122.384409,SHILSHOLE AVE NW,BALLARD SOUTH,B
snd-10076,47.666860,-122.338488,WOODLAWN AVE N,WALLINGFORD,B
snd-10079,47.666858,-122.336394,WALLINGFORD AVE N,WALLINGFORD,B
snd-10080,47.666497,-122.337444,N 52ND ST,WALLINGFORD,B
snd-10081,47.666272,-122.357254,PALMER DR NW,PHINNEY RIDGE,B
snd-10082,47.666857,-122.333703,MERIDIAN AVE N,WALLINGFORD,B
snd-10083,47.666496,-122.335052,N 52ND ST,WALLINGFORD,B
snd-10084,47.666746,-122.340088,GREEN LAKE WAY N,WALLINGFORD,B
snd-10085,47.666418,-122.339283,N 52ND ST,WALLINGFORD,B
snd-10086,47.666399,-122.358288,PALMER CT NW,PHINNEY RIDGE,B
snd-10087,47.666834,-122.331775,KEYSTONE PL N,WALLINGFORD,B
snd-10088,47.666488,-122.332625,N 52ND ST,WALLINGFORD,B
